질문ID,원본행,카테고리,도메인(원본),업무라벨,페이지/입력유형,질문유형(원본),중요도,예상질문,의도그룹,상세의도_주,상세의도_부,사용자역할,응답정책,추가질문필요,답변가능성,필수응답요소,검토필요,라벨확신도,라벨메모,비고/기대동작
Q084,36,업무질문,채무조정 안내,채무조정 안내,개인회생,"정의형, 절차형",중,개인회생은 몇 년간 분할상환하나요?,INFORMATION,AMOUNT_DEADLINE,,채무자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,법원 개인회생(3~5년 분할)
Q085,37,업무질문,채무조정 안내,채무조정 안내,부채증명원/금융거래정보신청,"절차형, 서류형",중,부채증명원은 어떻게 발급받나요?,ACTION,APPLICATION,,채무자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,공식 증명서 발급 신청
Q086,37,업무질문,채무조정 안내,채무조정 안내,부채증명원/금융거래정보신청,"절차형, 서류형",중,금융거래정보신청은 어디서 하나요?,ACTION,APPLICATION,,채무자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,공식 증명서 발급 신청
Q087,38,업무질문,채무조정 안내,채무조정 안내,FAQ 채무정보조회,절차형,중,휴대폰 인증만으로 채무정보를 조회할 수 있나요?,STATUS,STATUS_CHECK,,채무자,STATUS_GUIDE,N,Y,조회 방법 + 조회 페이지 + 개인정보 접근 한계,N,상,,휴대폰 인증 온라인 조회
Q088,39,업무질문,은닉재산 신고,은닉재산 신고,신고센터,"정의형, 금액형, 절차형",상,은닉재산 신고 포상금은 최대 얼마인가요?,INFORMATION,AMOUNT_DEADLINE,,신고자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"포상금 최대 30억, 신고방법"
Q089,39,업무질문,은닉재산 신고,은닉재산 신고,신고센터,"정의형, 금액형, 절차형",상,은닉재산은 어떻게 신고하나요?,ACTION,APPLICATION,,신고자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,"포상금 최대 30억, 신고방법"
Q090,39,업무질문,은닉재산 신고,은닉재산 신고,신고센터,"정의형, 금액형, 절차형",상,이메일로도 신고할 수 있나요?,ACTION,APPLICATION,,신고자,ACTION_GUIDE,N,Y,절차 + 필요 서류 + 실행/신청 링크 + 출처,N,상,,"포상금 최대 30억, 신고방법"
Q091,40,업무질문,은닉재산 신고,은닉재산 신고,FAQ 은닉재산신고,"금액형, 절차형, 예외형",상,포상금은 어떤 기준으로 지급되나요?,INFORMATION,AMOUNT_DEADLINE,ELIGIBILITY_CONDITION,신고자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"포상금 지급기준표, 비밀보장"
Q092,40,업무질문,은닉재산 신고,은닉재산 신고,FAQ 은닉재산신고,"금액형, 절차형, 예외형",상,신고자 신상정보는 비밀이 보장되나요?,INFORMATION,ELIGIBILITY_CONDITION,,신고자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,"포상금 지급기준표, 비밀보장"
Q093,41,업무질문,은닉재산 신고,은닉재산 신고,불법행위신고 신고센터 소개,"정의형, 대상형",중,횡령이나 배임도 은닉재산 신고센터에 신고하나요?,INFORMATION,GENERAL_INFORMATION,,신고자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,은닉재산 vs 불법행위 신고 구분 능력 검증
Q094,41,업무질문,은닉재산 신고,은닉재산 신고,불법행위신고 신고센터 소개,"정의형, 대상형",중,은닉재산 신고와 불법행위 신고는 어떻게 다른가요?,INFORMATION,COMPARISON,,신고자,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,N,상,,은닉재산 vs 불법행위 신고 구분 능력 검증
Q095,42,업무질문,은닉재산 신고,은닉재산 신고,부실책임조사 진행현황 조회,절차형,하,제가 신고한 건의 조사 진행상황을 확인할 수 있나요?,STATUS,STATUS_CHECK,,신고자,STATUS_GUIDE,N,Y,조회 방법 + 조회 페이지 + 개인정보 접근 한계,N,상,,조회기능 성격이라 정적 답변 어려움
Q096,43,답변불가형,범위 밖 - 타 기관 업무,기타/불명확,-,답변불가형,상,국민연금은 언제부터 받을 수 있나요?,OUT_OF_SCOPE,OTHER_AGENCY,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,"6개 업무 밖임을 인지, 관할 기관(국민연금공단 등) 안내"
Q097,43,답변불가형,범위 밖 - 타 기관 업무,기타/불명확,-,답변불가형,상,실업급여는 어떻게 신청하나요?,OUT_OF_SCOPE,OTHER_AGENCY,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,"6개 업무 밖임을 인지, 관할 기관(국민연금공단 등) 안내"
Q098,43,답변불가형,범위 밖 - 타 기관 업무,기타/불명확,-,답변불가형,상,국세청 세금 환급은 어디서 신청해요?,OUT_OF_SCOPE,OTHER_AGENCY,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,"6개 업무 밖임을 인지, 관할 기관(국민연금공단 등) 안내"
Q099,44,답변불가형,범위 밖 - 유사 금융상품 추천,기타/불명확,-,답변불가형,상,지금 예금 어디에 넣는 게 제일 이자 높아요?,OUT_OF_SCOPE,RECOMMENDATION,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,상품 추천/투자자문 거부
Q100,44,답변불가형,범위 밖 - 유사 금융상품 추천,기타/불명확,-,답변불가형,상,저축은행 중에 안전한 곳 추천해주세요,OUT_OF_SCOPE,RECOMMENDATION,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,상품 추천/투자자문 거부
Q101,44,답변불가형,범위 밖 - 유사 금융상품 추천,기타/불명확,-,답변불가형,상,어떤 보험상품이 좋나요?,OUT_OF_SCOPE,RECOMMENDATION,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,상품 추천/투자자문 거부
Q102,45,답변불가형,범위 밖 - 법률자문,기타/불명확,-,답변불가형,상,이 계약이 사기인지 아닌지 판단해주세요,OUT_OF_SCOPE,LEGAL_ADVICE,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,"법률 자문 불가, 법률구조공단 등 안내"
Q103,45,답변불가형,범위 밖 - 법률자문,기타/불명확,-,답변불가형,상,저 소송 걸어도 되나요?,OUT_OF_SCOPE,LEGAL_ADVICE,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,"법률 자문 불가, 법률구조공단 등 안내"
Q104,45,답변불가형,범위 밖 - 법률자문,기타/불명확,-,답변불가형,상,변호사 없이 이길 수 있나요?,OUT_OF_SCOPE,LEGAL_ADVICE,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,"법률 자문 불가, 법률구조공단 등 안내"
Q105,46,답변불가형,범위 밖 - 개인 계좌/데이터 접근,기타/불명확,-,답변불가형,상,제 계좌 비밀번호 좀 찾아주세요,OUT_OF_SCOPE,PERSONAL_DATA,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,"개인 데이터 접근 불가 명시, 공식 채널 안내"
Q106,46,답변불가형,범위 밖 - 개인 계좌/데이터 접근,기타/불명확,-,답변불가형,상,제 미수령금이 얼마인지 바로 알려주세요,OUT_OF_SCOPE,PERSONAL_DATA,,미수령금 신청인,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,"개인 데이터 접근 불가 명시, 공식 채널 안내"
Q107,46,답변불가형,범위 밖 - 개인 계좌/데이터 접근,기타/불명확,-,답변불가형,상,제 이름으로 등록된 계좌 다 보여주세요,OUT_OF_SCOPE,PERSONAL_DATA,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,"개인 데이터 접근 불가 명시, 공식 채널 안내"
Q108,47,답변불가형,경계 케이스 - 유사 개념 혼동,착오송금 반환 신청,-,"답변불가형, 조건형",상,제가 계좌 잘못 눌러서 다른 사람한테 돈 보냈는데 이거 예금보호 되나요?,INFORMATION,CONCEPT_CORRECTION,,송금인,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,Y,중,원본은 답변불가형이나 개념 정정으로 답변 가능하므로 정책 합의 필요 / 기존 질문유형과 신규 의도정책이 다름,착오송금 vs 예금보호 등 개념 혼동 정정
Q109,47,답변불가형,경계 케이스 - 유사 개념 혼동,착오송금 반환 신청,-,"답변불가형, 조건형",상,착오송금이랑 보이스피싱 당한 거랑 같은 절차인가요?,INFORMATION,CONCEPT_COMPARISON,PROCEDURE | COMPARISON,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,Y,중,원본은 답변불가형이나 개념 정정으로 답변 가능하므로 정책 합의 필요 / 기존 질문유형과 신규 의도정책이 다름,착오송금 vs 예금보호 등 개념 혼동 정정
Q110,48,답변불가형,범위 밖 - 타사 챗봇/시스템 관련,기타/불명확,-,답변불가형,하,너 어떤 AI 모델이야?,OUT_OF_SCOPE,SERVICE_META,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,Y,중,서비스 소개 허용 범위를 팀 정책으로 확정 필요,"서비스 소개 수준으로만 답, 내부 기술 미노출"
Q111,48,답변불가형,범위 밖 - 타사 챗봇/시스템 관련,기타/불명확,-,답변불가형,하,이 챗봇 누가 만들었어?,OUT_OF_SCOPE,SERVICE_META,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,Y,중,서비스 소개 허용 범위를 팀 정책으로 확정 필요,"서비스 소개 수준으로만 답, 내부 기술 미노출"
Q112,49,답변불가형,경계 케이스 - 과거 시점 질문,기타/불명확,-,"답변불가형, 예외형",중,2020년 예금보호한도는 얼마였나요?,OUT_OF_SCOPE,HISTORICAL,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,Y,중,과거 정보 제공 범위를 팀 정책으로 확정 필요,현재 기준 정보만 보유함을 명시
Q113,49,답변불가형,경계 케이스 - 과거 시점 질문,기타/불명확,-,"답변불가형, 예외형",중,예전 착오송금 제도는 어땠나요?,OUT_OF_SCOPE,HISTORICAL,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,Y,중,과거 정보 제공 범위를 팀 정책으로 확정 필요,현재 기준 정보만 보유함을 명시
Q114,50,대화복구형,감탄사/의미없는 텍스트,기타/불명확,-,대화복구형,하,ㅋㅋㅋ,CLARIFICATION,MEANINGLESS_INPUT,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,추가 질문 문구를 정답 라벨로 별도 작성 권장,예시 질문 제시하며 재질문 유도
Q115,50,대화복구형,감탄사/의미없는 텍스트,기타/불명확,-,대화복구형,하,하하하,CLARIFICATION,MEANINGLESS_INPUT,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,추가 질문 문구를 정답 라벨로 별도 작성 권장,예시 질문 제시하며 재질문 유도
Q116,50,대화복구형,감탄사/의미없는 텍스트,기타/불명확,-,대화복구형,하,ㅇㅇ,CLARIFICATION,MEANINGLESS_INPUT,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,추가 질문 문구를 정답 라벨로 별도 작성 권장,예시 질문 제시하며 재질문 유도
Q117,50,대화복구형,감탄사/의미없는 텍스트,기타/불명확,-,대화복구형,하,ㅁㄴㅇㄹ,CLARIFICATION,MEANINGLESS_INPUT,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,추가 질문 문구를 정답 라벨로 별도 작성 권장,예시 질문 제시하며 재질문 유도
Q118,51,대화복구형,너무 짧은/모호한 입력,기타/불명확,-,대화복구형,중,도와줘,CLARIFICATION,AMBIGUOUS,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,추가 질문 문구를 정답 라벨로 별도 작성 권장,6개 업무를 간단히 나열하며 되묻기
Q119,51,대화복구형,너무 짧은/모호한 입력,기타/불명확,-,대화복구형,중,뭐해,CLARIFICATION,AMBIGUOUS,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,추가 질문 문구를 정답 라벨로 별도 작성 권장,6개 업무를 간단히 나열하며 되묻기
Q120,51,대화복구형,너무 짧은/모호한 입력,기타/불명확,-,대화복구형,중,궁금한 게 있어요,CLARIFICATION,AMBIGUOUS,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,추가 질문 문구를 정답 라벨로 별도 작성 권장,6개 업무를 간단히 나열하며 되묻기
Q121,52,대화복구형,인사/잡담,기타/불명확,-,대화복구형,하,안녕,CLARIFICATION,SMALLTALK,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,추가 질문 문구를 정답 라벨로 별도 작성 권장,짧게 응대 후 업무 안내로 자연스럽게 연결
Q122,52,대화복구형,인사/잡담,기타/불명확,-,대화복구형,하,오늘 날씨 어때?,OUT_OF_SCOPE,OTHER_TOPIC,,일반/미지정,REFUSE_REDIRECT,N,N,답변 한계 고지 + 적절한 기관/문의 경로,N,상,,짧게 응대 후 업무 안내로 자연스럽게 연결
Q123,52,대화복구형,인사/잡담,기타/불명확,-,대화복구형,하,심심해,CLARIFICATION,SMALLTALK,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,추가 질문 문구를 정답 라벨로 별도 작성 권장,짧게 응대 후 업무 안내로 자연스럽게 연결
Q124,53,대화복구형,욕설/공격적 입력,기타/불명확,-,대화복구형,중,(비속어 포함 불만 표현),CLARIFICATION,ABUSE_COMPLAINT,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,실제 발화가 아닌 설명형 문항이므로 구체적 예문 추가 권장 / 추가 질문 문구를 정답 라벨로 별도 작성 권장,"침착하게 응대, 필요 시 고객센터 채널 안내"
Q125,54,대화복구형,반복/스팸성 입력,기타/불명확,-,대화복구형,하,같은 질문을 여러 번 연속으로,CLARIFICATION,SPAM_REPEAT,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,실제 발화가 아닌 설명형 문항이므로 구체적 예문 추가 권장 / 추가 질문 문구를 정답 라벨로 별도 작성 권장,반복 시에도 성실 응대 또는 안내 채널 제시
Q126,54,대화복구형,반복/스팸성 입력,기타/불명확,-,대화복구형,하,무작위 문자 나열,CLARIFICATION,SPAM_REPEAT,,일반/미지정,ASK_CLARIFY,Y,조건부,짧은 응대 + 업무/상황 추가 질문,Y,중,실제 발화가 아닌 설명형 문항이므로 구체적 예문 추가 권장 / 추가 질문 문구를 정답 라벨로 별도 작성 권장,반복 시에도 성실 응대 또는 안내 채널 제시
Q127,55,대화복구형,복합 잡담+질문,착오송금 반환 신청,-,"대화복구형, 절차형/금액형",중,ㅋㅋ 근데 착오송금 반환 얼마나 걸려요?,INFORMATION,AMOUNT_DEADLINE,MIXED_UTTERANCE,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,Y,중,잡담보다 실제 업무 질문을 우선 처리하는 복합 발화,"잡담은 가볍게, 진짜 질문은 정확히 답변"
Q128,55,대화복구형,복합 잡담+질문,예금자보호제도,-,"대화복구형, 절차형/금액형",중,오늘 너무 힘든데 예금 얼마까지 보호되나요?,INFORMATION,AMOUNT_DEADLINE,MIXED_UTTERANCE | ELIGIBILITY_CONDITION,일반/미지정,INFORMATION_ANSWER,N,Y,근거 기반 정보 + 출처 URL,Y,중,잡담보다 실제 업무 질문을 우선 처리하는 복합 발화,"잡담은 가볍게, 진짜 질문은 정확히 답변"
